id,doi,scopus_id,title,authors,year,venue,corresponding_country,affiliations,detection_method,spectral,spectral_range_um_min,spectral_range_um_max,direction,temperature_measurement_method,temperature_control_method,temperature_range_K_min,temperature_range_K_max,citations_total,citations_total_updated,cites,cited_by
10.1007/s10765-021-02813-0,10.1007/s10765-021-02813-0,85103860156,An Apparatus for the Directional Spectral Emissivity Measurement in the Near Infrared Band,Kun Yu;Ruirui Tong;Kaihua Zhang;Yanlei Liu;Yufang Liu,2021,International Journal of Thermophysics,CN,"Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang)",optical fiber spectrometer;DWARF-Star NIR,true,0.87,1.7,directional,thermocouple,electric heater,823.0,1073.0,15,2026-08-02,10.1063/1.2393157;10.1109/TIM.2024.3457934,10.1007/s10765-008-0442-9;10.1007/s10765-013-1400-8;10.1007/s10765-014-1745-7;10.1007/s10765-016-2142-1;10.1007/s10765-018-2472-2;10.1007/s10765-024-03393-5;10.1016/j.applthermaleng.2016.11.022;10.1016/j.applthermaleng.2019.114854;10.1016/j.ijheatmasstransfer.2017.06.133;10.1016/j.ijthermalsci.2024.109454;10.1016/j.infrared.2015.10.001;10.1023/B:IJOT.0000028479.90667.8a;10.1063/1.5007225;10.1088/1674-1056/25/4/047801;10.3390/app142210369
10.1007/s10765-022-03129-3,10.1007/s10765-022-03129-3,85142269466,New Emissivity Measuring System with High Accuracy Under Controlled Environment Conditions,Kaihua Zhang;Qingqing Hu;Kun Yu;Yufang Liu,2023,International Journal of Thermophysics,CN,"Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang)",FTIR;Bruker Vertex 70v,true,2.0,20.0,directional,thermocouple,electric heater,673.0,1073.0,8,2026-08-02,10.1063/1.2393157,10.1007/s10765-007-0183-1;10.1007/s10765-008-0442-9;10.1007/s10765-010-0847-0;10.1007/s10765-016-2058-9;10.1016/j.applthermaleng.2019.114854;10.1016/j.ijheatmasstransfer.2017.06.133;10.1016/j.measurement.2024.115591;10.1088/0026-1394/47/2/S14;10.1088/0957-0233/25/9/095501;10.1088/1742-6596/13/1/015;10.1115/1.4006088;10.3390/app142210369
10.1007/s10765-024-03393-5,10.1007/s10765-024-03393-5,85196488168,Development of An Apparatus for the Directional Spectral Emissivity Measurement from 50 ? to 1000 ?,Z. Y. Liu;J. Song;K. Yu;J. J. Zhou;G. R. Guo;X. P. Hao,2024,International Journal of Thermophysics,CN,"Henan Normal University (CN, Xinxiang);National Institute of Metrology China (CN, Beijing);Henan Normal University (CN, Xinxiang);National Institute of Metrology China (CN, Beijing);Henan Normal University (CN, Xinxiang);National Institute of Metrology China (CN, Beijing)",FTIR;Bruker Invenio R,true,3.0,14.0,directional,thermocouple,electric heater,323.0,1273.0,7,2026-08-02,10.1007/s10765-021-02813-0;10.1016/j.infrared.2020.103572;10.1063/5.0073459,10.1007/s10765-007-0183-1;10.1007/s10765-013-1531-y;10.1007/s10765-014-1745-7;10.1007/s10765-015-1969-1;10.1007/s10765-016-2058-9;10.1007/s10765-018-2472-2;10.1016/j.ijheatmasstransfer.2017.06.133;10.3390/app142210369
10.1007/s10765-024-03433-0,10.1007/s10765-024-03433-0,85208542299,Black Body Cavity Apparatus for Measuring the Emissivity of Nickel-Titanium-Based Shape-Memory Alloys and Other Metals,Muhammad Ali Javed;Burkhard Maaß;Daniel Zipplies;Markus Richter,2024,International Journal of Thermophysics,DE,"Technische Universität Chemnitz (DE, Chemnitz);Ingpuls GmbH (DE, Bochum);Technische Universität Chemnitz (DE, Chemnitz);Technische Universität Chemnitz (DE, Chemnitz)",infrared camera;ImageIR 8380;InfraTec GmbH,,,,normal,platinum resistance thermometer,electric heater,308.0,425.0,7,2026-08-02,10.1063/1.2393157,
10.1007/s11018-012-0103-z,10.1007/s11018-012-0103-z,84872486760,The development of emissivity measurements under vacuum at the PTB,A. R. Adibekyan;C. Monte;M. Kehrt;S. P. Morozova;B. Gutschwager;J. Hollandt,2013,Measurement Techniques,DE,"Physikalisch-Technische Bundesanstalt (DE, Braunschweig);Physikalisch-Technische Bundesanstalt (DE, Braunschweig);Physikalisch-Technische Bundesanstalt (DE, Braunschweig);All-Russian Research Institute for Optical and Physical Measurements (RU, Moscow);Physikalisch-Technische Bundesanstalt (DE, Braunschweig);Physikalisch-Technische Bundesanstalt (DE, Braunschweig)",FTIR,,,,,,electric heater,,,4,2026-08-02,10.1007/s10765-008-0442-9;10.1007/s10765-014-1745-7;10.1016/j.jqsrt.2022.108277;10.1088/0026-1394/47/2/S14;10.3390/ma12071141,scopus_77957053134
10.1016/0020-0891(79)90060-5,10.1016/0020-0891(79)90060-5,18506862,Spectral emissivity and absorption coefficient of silica glass at extremely high temperatures in the semitransparent region,A. V. Dvurechensky;V. A. Petrov;V. Yu Reznik,1979,Infrared Physics,RU,"Joint Institute for High Temperatures of the Russian Academy of Sciences (RU, Moscow);Joint Institute for High Temperatures of the Russian Academy of Sciences (RU, Moscow);Joint Institute for High Temperatures of the Russian Academy of Sciences (RU, Moscow)",spectrometer,true,2.0,5.0,,pyrometer;christiansen,induction heating,,,27,2026-08-02,,
10.1016/S1350-4495(96)00017-5,10.1016/S1350-4495(96)00017-5,30311693,Total emissivity measurements without use of an absolute reference,D. Especel;S. Matteï,1996,Infrared Physics and Technology,FR,"Université Paris-Est Créteil Val de Marne (FR, Creteil);Université Paris-Est Créteil Val de Marne (FR, Creteil)",pyroelectric detector,false,,,normal,thermocouple,electric heater,,,35,2026-08-02,,
10.1016/S1350-4495(98)00011-5,10.1016/S1350-4495(98)00011-5,32094231,"High-temperature infrared properties of sapphire, AlON, fused silica, yttria, and spinel",Raymond M. Sova;Milton J. Linevsky;Michael E. Thomas;Frank F. Mark,1998,Infrared Physics and Technology,US,"Johns Hopkins University Applied Physics Laboratory (US, Laurel);Johns Hopkins University Applied Physics Laboratory (US, Laurel);Johns Hopkins University Applied Physics Laboratory (US, Laurel);Johns Hopkins University Applied Physics Laboratory (US, Laurel)",FTIR;Bomem DA 3.02,true,2.0,20.0,normal,thermocouple;pyrometer;christiansen,laser,,,109,2026-08-02,,
10.1016/j.applthermaleng.2009.12.005,10.1016/j.applthermaleng.2009.12.005,76449115213,Measurements of brake disc surface temperature and emissivity by two-color pyrometry,Jean Thevenet;Monica Siroux;Bernard Desmet,2010,Applied Thermal Engineering,FR,"Université de Lille (FR, Lille);Université de Lille (FR, Lille);Université de Lille (FR, Lille)",pyrometer two-color,,,,normal,pyrometer,,,,94,2026-08-02,10.1088/1674-1056/25/4/047801,
10.1016/j.applthermaleng.2016.11.022,10.1016/j.applthermaleng.2016.11.022,84994662907,Normal spectral emissivity of GH536 (HastelloyX) in three surface conditions,Bo Kong;Ting Li;Qitai Eri,2017,Applied Thermal Engineering,CN,"Beihang University (CN, Beijing);Beihang University (CN, Beijing);Beihang University (CN, Beijing)",FTIR;Nicolet iS-50,true,0.9,26.0,normal,thermocouple,electric heater,400.0,1200.0,53,2026-08-02,10.1007/s10765-021-02813-0;10.1016/j.ijheatmasstransfer.2021.122092;10.1016/j.ijthermalsci.2025.109809;10.1016/j.infrared.2020.103572;10.1088/1681-7575/ab84ff;10.1109/TIM.2023.3268656;10.1109/TIM.2024.3457934,
10.1016/j.applthermaleng.2019.114854,10.1016/j.applthermaleng.2019.114854,85077207308,Modified two-temperature calibration method for emissivity measurements at high temperatures,Kaihua Zhang;Yufang Liu,2020,Applied Thermal Engineering,CN,"Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang)",FTIR;Bruker Vertex 70v,true,2.0,25.0,normal,thermocouple,electric heater,673.0,1473.0,31,2026-08-02,10.1007/s10765-007-0183-1;10.1007/s10765-013-1531-y;10.1007/s10765-016-2058-9;10.1007/s10765-021-02813-0;10.1007/s10765-022-03129-3;10.1016/j.ijheatmasstransfer.2017.06.133;10.1016/j.ijthermalsci.2024.109454;10.1016/j.ijthermalsci.2025.109809;10.1016/j.infrared.2018.06.031;10.1016/j.jqsrt.2022.108277;10.1016/j.measurement.2023.113999;10.1063/1.2393157;10.1088/0026-1394/47/2/S14;10.1088/0957-0233/25/9/095501;10.1109/TIM.2024.3457934,10.1007/s10765-010-0847-0;10.1007/s10765-018-2472-2;10.1088/1742-6596/13/1/015;10.1364/AO.54.008700
10.1016/j.applthermaleng.2025.127648,10.1016/j.applthermaleng.2025.127648,105011511693,Emissivity measurement device for manufactured parts based on induction heating,Yingying Li;Longfei Li;Kun Yu;Yanlei Liu;Yufang Liu,2025,Applied Thermal Engineering,CN,"Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang)",fiber optic spectrometer;NIRQuest512-2.5,true,1.4,2.5,normal,thermocouple,induction heating,973.0,1273.0,2,2026-08-02,10.1016/j.infrared.2015.10.001;10.1063/1.5007225;10.1109/TIM.2019.2944504;10.3390/s21186252,10.1007/s10765-015-1866-7;10.1016/j.expthermflusci.2021.110379;10.1016/j.ijheatmasstransfer.2021.122092;10.1016/j.measurement.2007.10.007
10.1016/j.cap.2011.04.011,10.1016/j.cap.2011.04.011,80052264533,Microstructure and infrared emissivity property of coating containing TiO2 formed on titanium alloy by microarc oxidation,Z. W. Wang;Y. M. Wang;Y. Liu;J. L. Xu;L. X. Guo;Y. Zhou;J. H. Ouyang;J. M. Dai,2011,Current Applied Physics,CN,"Harbin Institute of Technology (CN, Harbin);Harbin Institute of Technology (CN, Harbin);Jilin University (CN, Changchun);Shanghai Spaceflight Precision Machinery Institute (CN, Shanghai);Harbin Institute of Technology (CN, Harbin);Harbin Institute of Technology (CN, Harbin);Harbin Institute of Technology (CN, Harbin);Harbin Institute of Technology (CN, Harbin)",FTIR;JASCO FT/IR-6100,true,3.0,20.0,normal,pyrometer,electric heater,,973.0,80,2026-08-02,10.1007/s10765-018-2472-2;10.1063/5.0073459,
10.1016/j.cryogenics.2023.103671,10.1016/j.cryogenics.2023.103671,85151346308,Preliminary development of emissivity measurement system at low temperature based on radiometric method,Yuchen Zhao;Xu Li;Hengcheng Zhang;Fuzhi Shen;Chuanjun Huang;Huiming Liu;Haoying Qi;Zichun Huang;Zhen Geng;Jijun Xin;Wei Wang;Laifeng Li,2023,Cryogenics,CN,"Technical Institute of Physics and Chemistry Chinese Academy of Sciences (CN, Beijing);National University of Defense Technology China (CN, Changsha);Technical Institute of Physics and Chemistry Chinese Academy of Sciences (CN, Beijing);Technical Institute of Physics and Chemistry Chinese Academy of Sciences (CN, Beijing);Technical Institute of Physics and Chemistry Chinese Academy of Sciences (CN, Beijing);Technical Institute of Physics and Chemistry Chinese Academy of Sciences (CN, Beijing);Technical Institute of Physics and Chemistry Chinese Academy of Sciences (CN, Beijing);Technical Institute of Physics and Chemistry Chinese Academy of Sciences (CN, Beijing);Technical Institute of Physics and Chemistry Chinese Academy of Sciences (CN, Beijing);Songshan Lake Materials Laboratory (CN, Dongguan);Songshan Lake Materials Laboratory (CN, Dongguan);Technical Institute of Physics and Chemistry Chinese Academy of Sciences (CN, Beijing)",MCT detector;VIGO PVM-10.6,true,2.0,12.0,normal,resistance thermometer,cryocooler,240.0,300.0,7,2026-08-02,10.1088/0026-1394/49/6/737,
10.1016/j.expthermflusci.2019.110017,10.1016/j.expthermflusci.2019.110017,85076093378,Spectral emissivity and temperature of heated surfaces based on spectrometry and digital thermal imaging – Validation with thermocouple temperature measurements,Weijie Yan;Aidin Panahi;Yiannis A. Levendis,2020,Experimental Thermal and Fluid Science,US,"China University of Mining and Technology (CN, Xuzhou);College of Engineering (US, Boston);College of Engineering (US, Boston)",fiber optic spectrometer;Avantes AvaSpec-ULS2048-USB2,true,0.5,1.0,normal,thermocouple;calculated,bunsen burner,1273.0,1673.0,53,2026-08-02,10.1016/s0031-8914(54)80182-0;10.1063/1.5007225;10.1109/TIM.2023.3268656,10.1016/j.icheatmasstransfer.2024.107695;10.1016/j.proci.2010.07.042;10.1364/OE.547412
10.1016/j.expthermflusci.2021.110379,10.1016/j.expthermflusci.2021.110379,85102104413,Accuracy improvement for directional polarized spectral emissivity measurement in the wavelength range of 4–20 ?m,Longfei Li;Kun Yu;Kaihua Zhang;Yanlei Liu;Feng Zhang;Yufang Liu,2021,Experimental Thermal and Fluid Science,CN,"Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Institute of Technology (CN, Xinxiang);Henan Normal University (CN, Xinxiang)",FTIR;Bruker Vertex 70v,true,4.0,20.0,directional,thermocouple,electric heater,,,17,2026-08-02,10.1007/s10765-013-1531-y;10.1007/s10765-017-2339-y;10.1016/j.applthermaleng.2025.127648;10.1016/j.ijheatmasstransfer.2017.06.133;10.1016/j.ijthermalsci.2024.109454;10.1016/j.ijthermalsci.2025.109809;10.1016/j.infrared.2018.06.031;10.1016/j.infrared.2022.104515;10.1063/1.2393157;10.1063/1.5007225;10.1063/5.0073459;10.1088/0026-1394/47/2/S14;10.1088/0957-0233/25/9/095501;10.1109/TIM.2023.3268656,10.1007/s10765-013-1400-8;10.1007/s10765-014-1745-7;10.1007/s10765-018-2472-2;10.1016/j.ijheatmasstransfer.2015.07.064;10.1016/j.measurement.2016.04.006;10.1063/1.4819635;10.1088/1742-6596/13/1/015
10.1016/j.fuproc.2020.106423,10.1016/j.fuproc.2020.106423,85082417368,"Temperature and emissivity measurements from combustion of pine wood, rice husk and fir wood using flame emission spectrum",Shu Zheng;Yu Yang;Xinyu Li;Huawei Liu;Weijie Yan;Ran Sui;Qiang Lu,2020,Fuel Processing Technology,CN,"North China Electric Power University (CN, Beijing);North China Electric Power University (CN, Beijing);North China Electric Power University (CN, Beijing);North China Electric Power University (CN, Beijing);China University of Mining and Technology (CN, Xuzhou);School of Engineering and Applied Science (US, Princeton);North China Electric Power University (CN, Beijing)",fiber optic spectrometer;Avantes AvaSpec-Mini2048CL,true,0.36,1.1,normal,thermocouple;calculated,combustion furnace,,,70,2026-08-02,10.1016/j.ijthermalsci.2024.109454;10.1109/TIM.2023.3268656,
10.1016/j.icheatmasstransfer.2024.107695,10.1016/j.icheatmasstransfer.2024.107695,85195851813,Development of a micro-infrared thermometry method for surface temperature distribution and variation of millimeter particle during high-temperature reaction,Haigang Zhang;Zhongjie Shen;Jianliang Xu;Qinfeng Liang;Zhenghua Dai;Jianhong Gong;Haifeng Liu,2024,International Communications in Heat and Mass Transfer,CN,"East China University of Science and Technology (CN, Shanghai);East China University of Science and Technology (CN, Shanghai);East China University of Science and Technology (CN, Shanghai);East China University of Science and Technology (CN, Shanghai);East China University of Science and Technology (CN, Shanghai);Research Institute of Petroleum Processing (CN, Beijing);East China University of Science and Technology (CN, Shanghai)",infrared camera;FLIR A615,true,7.5,14.0,normal,thermocouple;calculated,electric heater,,,2,2026-08-02,10.1016/j.expthermflusci.2019.110017,
10.1016/j.ijheatmasstransfer.2004.10.003,10.1016/j.ijheatmasstransfer.2004.10.003,13644270642,Emissivity characteristics of polished aluminum alloy surfaces and assessment of multispectral radiation thermometry (MRT) emissivity models,Chang Da Wen;Issam Mudawar,2005,International Journal of Heat and Mass Transfer,US,"College of Engineering (US, West Lafayette);College of Engineering (US, West Lafayette)",Fast infrared array spectrometer (FIAS);Spectraline Model ES100,true,1.8,4.9,,thermocouple,electric heater,,,126,2026-08-02,10.1016/j.ijheatmasstransfer.2012.02.055;10.1016/j.ijheatmasstransfer.2015.07.064;10.1016/j.ijheatmasstransfer.2021.122092;10.1088/0022-3727/42/15/155412;10.1109/TIM.2019.2944504,10.1016/j.measurement.2016.04.006;10.1088/1361-6501/ab5e9b
10.1016/j.ijheatmasstransfer.2012.02.055,10.1016/j.ijheatmasstransfer.2012.02.055,84859403657,A new experimental apparatus for measurement of spectral emissivity of opaque materials using a reflector as the dummy light source,Deheng Shi;Yufang Liu;Jinfeng Sun;Zuelue Zhu;Hui Liu,2012,International Journal of Heat and Mass Transfer,CN,"Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Xinyang Normal University (CN, Xinyang)",pyrometer,true,1.5,1.5,,thermocouple,electric heater,700.0,1200.0,17,2026-08-02,10.1016/j.ijheatmasstransfer.2021.122092;10.1063/1.2393157,10.1007/s10765-007-0183-1;10.1007/s10765-016-2142-1;10.1016/j.ijheatmasstransfer.2004.10.003;10.1016/j.ijheatmasstransfer.2015.07.064;10.1016/j.infrared.2019.102974;10.1023/A:1012817726103;10.1023/A:1013103419949;10.1088/1674-1056/25/4/047801
10.1016/j.ijheatmasstransfer.2015.07.064,10.1016/j.ijheatmasstransfer.2015.07.064,84938632764,Measurements of the directional spectral emissivity based on a radiation heating source with alternating spectral distributions,Tairan Fu;Minghao Duan;Jiaqi Tang;Congling Shi,2015,International Journal of Heat and Mass Transfer,CN,"Key Laboratory for Thermal Science and Power Engineering of Ministry of Education (CN, Beijing);Key Laboratory for Thermal Science and Power Engineering of Ministry of Education (CN, Beijing);Key Laboratory for Thermal Science and Power Engineering of Ministry of Education (CN, Beijing);China Academy of Safety Science and Technology (CN, Beijing)",spectrometer (NIR),true,1.15,1.6,normal,calculated,electric heater (lamps),,,42,2026-08-02,10.1007/s10765-007-0183-1;10.1007/s10765-008-0442-9;10.1016/j.expthermflusci.2021.110379;10.1016/j.ijheatmasstransfer.2012.02.055;10.1016/j.ijheatmasstransfer.2021.122092;10.1016/j.infrared.2022.104515;10.1016/j.infrared.2023.105060;10.1016/j.solener.2022.01.050;10.1063/1.2393157;10.1063/1.5007225;10.1088/0026-1394/47/2/S14;10.1117/12.2208334;10.1117/12.560602,10.1016/j.ijheatmasstransfer.2004.10.003;10.1016/j.matlet.2011.01.067;10.1063/1.5116425;10.1088/1361-6501/ab5e9b;10.1088/1742-6596/13/1/015;10.1117/12.542224;10.1364/AO.54.008700
10.1016/j.ijheatmasstransfer.2017.06.133,10.1016/j.ijheatmasstransfer.2017.06.133,85021801640,An improved algorithm for spectral emissivity measurements at low temperatures based on the multi-temperature calibration method,Kaihua Zhang;Kun Yu;Yufang Liu;Yuejin Zhao,2017,International Journal of Heat and Mass Transfer,CN,"School of Optics and Photonics, Beijing Institute of Technology (CN, Beijing);Henan Normal University (CN, Xinxiang);School of Optics and Photonics, Beijing Institute of Technology (CN, Beijing);School of Optics and Photonics, Beijing Institute of Technology (CN, Beijing)",FTIR;Bruker Vertex 70v,true,5.0,20.0,normal,platinum resistance thermometer;calculated,electric heater,323.0,373.0,53,2026-08-02,10.1007/s10765-021-02813-0;10.1007/s10765-022-03129-3;10.1007/s10765-024-03393-5;10.1016/j.ijthermalsci.2025.109809;10.1016/j.infrared.2018.06.031;10.1016/j.jqsrt.2022.108277;10.1016/j.measurement.2023.113999;10.1063/1.2393157;10.1088/0957-0233/25/9/095501;10.1088/1681-7575/ab84ff;10.1109/TIM.2023.3268656;10.1109/TIM.2024.3457934,10.1007/s10765-007-0183-1;10.1007/s10765-008-0442-9;10.1007/s10765-010-0847-0;10.1016/j.applthermaleng.2019.114854;10.1016/j.expthermflusci.2021.110379;10.1016/j.infrared.2022.104515;10.1023/A:1012817726103;10.1023/B:IJOT.0000028479.90667.8a;10.1088/1742-6596/13/1/015;10.1117/12.542224
10.1016/j.ijheatmasstransfer.2021.122092,10.1016/j.ijheatmasstransfer.2021.122092,85117245856,"Measurements of spectral emissivity, reflectance and transmittance at high temperatures using laser heating and auxiliary light source",Jiazhou Li;Yang Huang;Lin Fu;Tairan Fu;Jiansheng Zhang,2022,International Journal of Heat and Mass Transfer,CN,"Tsinghua University (CN, Beijing);Tsinghua University (CN, Beijing);Tsinghua University (CN, Beijing);Tsinghua University (CN, Beijing);Tsinghua University (CN, Beijing)",FTIR;Bruker Vertex 70v,true,2.0,16.0,normal,pyrometer,laser;500W,,,26,2026-08-02,10.1016/j.applthermaleng.2025.127648;10.1016/j.ijheatmasstransfer.2024.125975;10.1016/j.ijthermalsci.2025.109809;10.1016/j.infrared.2020.103572;10.1016/j.solener.2022.01.050;10.1063/1.2393157,10.1007/s10765-007-0183-1;10.1007/s10765-008-0442-9;10.1007/s10765-011-0986-y;10.1007/s10765-016-2058-9;10.1016/j.applthermaleng.2016.11.022;10.1016/j.ijheatmasstransfer.2004.10.003;10.1016/j.ijheatmasstransfer.2012.02.055;10.1016/j.ijheatmasstransfer.2015.07.064;10.1016/j.infrared.2015.01.011;10.1016/j.matlet.2011.01.067;10.1088/0026-1394/47/2/S14;10.1088/0957-0233/25/9/095501;10.1088/1742-6596/13/1/015
10.1016/j.ijheatmasstransfer.2024.125975,10.1016/j.ijheatmasstransfer.2024.125975,85199144175,Approaching the emissivity of CMAS at high temperatures by convenient thermocouple-based infrared thermography,Yiwen Lv;Junjun Wu;Wenze Yang;Yuhao Xiang;Hong Wang;Xun Zhu;Qiang Liao,2024,International Journal of Heat and Mass Transfer,CN,"Chongqing University (CN, Chongqing);Chongqing University (CN, Chongqing);Chongqing University (CN, Chongqing);Chongqing University (CN, Chongqing);Chongqing University (CN, Chongqing);Chongqing University (CN, Chongqing);Chongqing University (CN, Chongqing)",infrared camera;FLIR A6703sc,,,,normal,thermocouple;DHTT,thermocouple;DHTT,1073.0,1773.0,9,2026-08-02,10.1007/s10765-015-1866-7,10.1007/s10765-016-2142-1;10.1007/s10765-018-2472-2;10.1016/j.ijheatmasstransfer.2021.122092;10.1016/j.jqsrt.2020.107316
10.1016/j.ijthermalsci.2017.01.016,10.1016/j.ijthermalsci.2017.01.016,85010868657,A refined methodology to determine the spatial and temporal variation in the emissivity of diffusion flames,Vinay C. Raj;S. V. Prabhu,2017,International Journal of Thermal Sciences,IN,"Indian Institute of Technology Bombay (IN, Mumbai);Indian Institute of Technology Bombay (IN, Mumbai)",infrared camera;VisIR 640,,,,normal,calculated,combustion furnace,,,23,2026-08-02,,
10.1016/j.ijthermalsci.2024.109454,10.1016/j.ijthermalsci.2024.109454,85205324239,A directional spectral emissivity measurement device with built-in calibration radiation source,Yang Wang;Jingmin Dai;Yufeng Zhang,2025,International Journal of Thermal Sciences,CN,"School of Instrumentation Science and Engineering, Harbin Institute of Technology (CN, Harbin);School of Instrumentation Science and Engineering, Harbin Institute of Technology (CN, Harbin);Bohai University (CN, Jinzhou)",FTIR,true,2.0,14.0,directional,thermocouple,electric heater,473.0,1473.0,3,2026-08-02,10.1007/s10765-021-02813-0;10.1016/j.infrared.2015.01.011;10.1016/j.nme.2022.101182,10.1007/s10765-018-2472-2;10.1016/j.applthermaleng.2019.114854;10.1016/j.expthermflusci.2021.110379;10.1016/j.fuproc.2020.106423;10.1016/j.infrared.2023.105060;10.1088/0026-1394/47/2/S14;10.1088/1361-6501/ab5e9b;10.1088/1681-7575/ab84ff
10.1016/j.ijthermalsci.2025.109740,10.1016/j.ijthermalsci.2025.109740,85215864285,A high precision infrared emissivity measurement method for micro/nano structures,Yinxue Bai;Gangquan Wang;Yue Liu;Longfei Li;Kaihua Zhang;Baolin Zhao;Yufang Liu;Kun Yu,2025,International Journal of Thermal Sciences,CN,"Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang)",FTIR;Bruker Vertex 70v,true,3.0,15.0,normal,,electric heater,323.0,1073.0,3,2026-08-02,10.1007/s10765-018-2472-2;10.1063/1.2393157;10.1364/AO.54.008700,
10.1016/j.ijthermalsci.2025.109809,10.1016/j.ijthermalsci.2025.109809,85218338258,Experimental apparatus for radiation characteristics of semi-transparent materials at high temperature:A direct radiometric method,Yanfen Xu;Kaihua Zhang;Longfei Li;Kun Yu;Yufang Liu,2025,International Journal of Thermal Sciences,CN,"Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang)",FTIR;Bruker Vertex 70v,true,3.0,12.0,normal,S type;simulated,electric heater,473.0,1473.0,1,2026-08-02,10.3390/s21186252,10.1007/s10765-007-0183-1;10.1007/s10765-018-2472-2;10.1016/j.applthermaleng.2016.11.022;10.1016/j.applthermaleng.2019.114854;10.1016/j.expthermflusci.2021.110379;10.1016/j.ijheatmasstransfer.2017.06.133;10.1016/j.ijheatmasstransfer.2021.122092;10.1016/j.jqsrt.2020.107316;10.1088/1674-1056/25/4/047801;10.1115/1.4006088
10.1016/j.ijthermalsci.2025.110629,10.1016/j.ijthermalsci.2025.110629,105025974669,Research on directional emissivity measurement system based on finite detection solid angle analysis method,Zhiying Chen;Yanlei Liu;Longfei Li;Zhihao Yuan;Kun Yu;Yufang Liu,2026,International Journal of Thermal Sciences,CN,"Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang)",spectrometer;Zolix Omin-3007i,true,0.8,2.5,directional,,electric heater,673.0,1073.0,2,2026-08-02,,10.1007/s10765-013-1400-8;10.1063/1.4819635;10.1088/1742-6596/13/1/015
10.1016/j.infrared.2014.07.004,10.1016/j.infrared.2014.07.004,84905240215,Spectral emissivity modeling of steel 201 during the growth of oxidation film over the temperature range from 800 to 1100 K in air,Deheng Shi;Fenghui Zou;Shuai Wang;Zunlue Zhu;Jinfeng Sun;Baokui Wang,2014,Infrared Physics and Technology,CN,"Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Ltd. (CN, Wuhan)",InGaAs photodiode,true,0.8,1.1,normal,thermocouple,electric heater,,1200.0,14,2026-08-02,10.1016/j.measurement.2016.01.018;10.1063/1.2393157,
10.1016/j.infrared.2015.01.011,10.1016/j.infrared.2015.01.011,84922496652,Apparatus for measuring the emittance of materials from far infrared to visible wavelengths in extreme conditions of temperature,D. De Sousa Meneses;P. Melin;L. Del Campo;L. Cosson;P. Echegut,2015,Infrared Physics and Technology,FR,"Université d'Orléans (FR, Orleans);Université d'Orléans (FR, Orleans);Université d'Orléans (FR, Orleans);Université d'Orléans (FR, Orleans);Université d'Orléans (FR, Orleans)",FTIR;Bruker Vertex 70;Bruker Vertex 80v,true,0.55,500.0,normal,calculated,laser;500W,,2500.0,55,2026-08-02,10.1016/j.ijheatmasstransfer.2021.122092;10.1063/1.2393157,10.1007/s10765-007-0183-1;10.1007/s10765-013-1400-8;10.1016/j.ijthermalsci.2024.109454;10.1016/j.infrared.2023.105060;10.1063/1.5116425;10.1088/0957-0233/25/9/095501;10.1088/1681-7575/ab84ff;10.1088/1742-6596/13/1/015
